,link,title,newspaper,category,pred_label
0,https://abcnews.go.com/Sports/baylor-bears-rebuilding-effort-progresses-final-1950/story?id=76763800,baylor bears rebuilding effort progresses first final four since,abc,4,2
1,https://abcnews.go.com/Sports/timberwolves-karl-anthony-towns-reflects-emotional-night-father/story?id=76762686,timberwolves karlanthony towns reflects emotional night father attends first game since jackie cruztowns death,abc,4,1
2,https://abcnews.go.com/Sports/dustin-david-price-grabs-starter-role-los-angeles/story?id=76762384,dustin may david price grabs fifth starter role los angeles dodgers prepare defend title,abc,4,2
3,https://abcnews.go.com/Sports/baylor-calls-foul-call-end-elite-loss-uconn/story?id=76762078,baylor calls foul noncall end elite eight loss uconn,abc,4,1
4,https://abcnews.go.com/Sports/kim-mulkey-baylor-lady-bears-ncaa-covid-19/story?id=76761673,kim mulkey baylor lady bears says ncaa away testing final fourrafael stone stockpile picks,abc,4,2
5,https://abcnews.go.com/Sports/rafael-stone-stockpile-picks-young-core-houston-rockets/story?id=76759561,young core keep houston rockets go wholesale tank mode,abc,4,2
6,https://abcnews.go.com/Sports/andre-drummond-hunger-excitement-make-debut-los-angeles/story?id=76758414,andre drummond hunger excitement make debut los angeles lakers long last,abc,4,2
7,https://abcnews.go.com/Sports/los-angeles-lakers-jeanie-buss-watching-brooklyn-nets/story?id=76758345,los angeles lakers jeanie buss watching brooklyn nets moves bring,abc,4,4
8,https://abcnews.go.com/Sports/mlb-draft-pick-mark-appel-heads-minor-league/story?id=76758307,former mlb draft pick mark appel heads minor league camp philadelphia phillies pursuit comeback,abc,4,2
9,https://abcnews.go.com/Sports/niners-left-altar-staying-12-jimmy-garoppolo-best/story?id=76757597,niners didnt want get left altar staying believe jimmy garoppolo gives best chance,abc,4,2
10,https://abcnews.go.com/Sports/texas-rangers-moving-rougned-odor-jose-leclerc-tommy/story?id=76757209,texas rangers moving rougned odor jose leclerc tommy john surgery,abc,4,2
11,https://abcnews.go.com/Sports/sources-milwaukee-bucks-picking-reserve-guard-jeff-teague/story?id=76756575,sources milwaukee bucks picking reserve guard jeff teague,abc,4,4
